id,title,original_title,original_language,language_name,release_date,release_year,release_month,decade,genres,primary_genre,num_genres,popularity,vote_average,vote_count,rating_tier,popularity_tier,budget,revenue,has_budget_data,has_revenue_data,profit,roi,runtime,primary_country,production_countries,num_spoken_languages,production_companies,overview_length,gdp_per_capita_usd,population,popularity_norm,vote_average_norm,vote_count_norm,budget_norm,revenue_norm,runtime_norm
804150,Cocaine Bear,Cocaine Bear,en,English,2023-02-22,2023,2,2020,Thriller|Comedy|Crime,Thriller,3,11.2938,5.986,2528,Mixed,High,32500000.0,88314672.0,True,True,55814672.0,1.717374523076923,95.0,US,US,2,Universal Pictures|Brownstone Productions|Lord Miller|Jurassic Party,33,82586.7847707894,336755052,0.04949858978376683,0.4012765957446808,0.06028463690548595,0.04933199057460103,0.030206410776623296,0.3510204081632653
700391,65,65,en,English,2023-03-02,2023,3,2020,Action|Adventure|Science Fiction,Action,3,11.2926,5.955,2965,Mixed,High,45000000.0,60730568.0,True,True,15730568.0,0.34956817777777777,92.0,CA,CA|US,1,Raimi Productions|Beck/Woods|Bron Studios|Columbia Pictures|TSG Entertainment,38,54847.5370112652,40049088,0.04948149625366799,0.3946808510638298,0.0709159469650894,0.06830588506257403,0.02077177411317564,0.33877551020408164
519465,Queen of Hearts,Dronningen,da,Danish,2019-03-27,2019,3,2010,Drama,Drama,1,11.2894,6.911,393,Good,High,19000000.0,,True,False,,,127.0,DK,DK|SE,2,DR|SVT|Nordisk Film Denmark,65,59404.2663247723,5814422,0.049435913506737705,0.5980851063829786,0.00834448363945992,0.0288401845275902,,0.4816326530612245
1089,Point Break,Point Break,en,English,1991-07-12,1991,7,1990,Action|Thriller|Crime,Action,3,11.2801,7.2,4130,Good,High,24000000.0,83531958.0,True,True,59531958.0,2.48049825,122.0,US,US,1,Largo Entertainment|Levy/Abrams/Guerin Productions,54,24342.2589048189,252981000,0.04930343864847154,0.6595744680851063,0.09925799781048535,0.036429742322779395,0.02857057120557236,0.46122448979591835
967847,Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire,en,English,2024-03-20,2024,3,2020,Fantasy|Adventure|Comedy,Fantasy,3,11.2781,6.4,2289,Mixed,High,100000000.0,201967521.0,True,True,101967521.0,1.01967521,115.0,US,US,1,Ghost Corps|Columbia Pictures|TSG Entertainment,70,86169.6641581917,340003797,0.049274949431640125,0.4893617021276596,0.054470259092567815,0.1517910208096552,0.06907928248855857,0.4326530612244898
1581,The Holiday,The Holiday,en,English,2006-12-05,2006,12,2000,Comedy|Romance,Comedy,2,11.2739,7.099,5748,Good,High,85000000.0,205233866.0,True,True,120233866.0,1.4145160705882354,136.0,US,US,2,Relativity Media|Waverly Films|Universal Pictures|Columbia Pictures,33,46301.9876485519,298379912,0.04921512207629411,0.6380851063829787,0.13862060576572194,0.1290223474240876,0.07019647586531168,0.5183673469387755
7980,The Lovely Bones,The Lovely Bones,en,English,2009-12-26,2009,12,2000,Fantasy|Drama,Fantasy,2,11.2673,7.056,5068,Good,High,65000000.0,93600000.0,True,True,28600000.0,0.44,136.0,GB,GB|NZ|US,1,WingNut Films|DreamWorks Pictures|Film4 Productions,39,39009.3715547821,62276270,0.04912110766075041,0.6289361702127659,0.12207760613064104,0.09866411624333082,0.032014160244474295,0.5183673469387755
319,True Romance,True Romance,en,English,1993-09-09,1993,9,1990,Action|Crime|Romance,Action,3,11.2596,7.538,3171,Good,High,12500000.0,12600000.0,True,True,100000.0,0.008,119.0,US,US|FR,2,Morgan Creek Entertainment|Davis Films|August Entertainment|Miramax,26,26387.2937338171,259919000,0.04901142417594941,0.7314893617021276,0.07592750273689332,0.01897375939384424,0.004309596422525954,0.4489795918367347
4258,Scary Movie 5,Scary Movie 5,en,English,2013-04-11,2013,4,2010,Comedy,Comedy,1,11.2593,4.78,3164,Poor,High,20000000.0,78613981.0,True,True,58613981.0,2.93069905,86.0,US,US,1,Dimension Films|Brad Grey Pictures,38,53297.3862901595,316726282,0.04900715079342468,0.14468085106382989,0.07575720715241455,0.03035809608662804,0.026888467407160336,0.3142857142857143
1097549,Babygirl,Babygirl,en,English,2024-12-25,2024,12,2020,Romance|Thriller,Romance,2,11.2467,5.72,1290,Mixed,High,20000000.0,60934894.0,True,True,40934894.0,2.0467447,115.0,US,US|NL,1,A24|2AM|Man Up Film,22,86169.6641581917,340003797,0.04882766872738669,0.34468085106382973,0.0301666463933828,0.03035809608662804,0.020841660072527284,0.4326530612244898
2503,The Bourne Ultimatum,The Bourne Ultimatum,en,English,2007-08-03,2007,8,2000,Action|Drama|Mystery|Thriller,Action,4,11.2376,7.443,8595,Good,High,70000000.0,442824138.0,True,True,372824138.0,5.326059114285714,115.0,US,US|GB,5,Universal Pictures|The Kennedy/Marshall Company|Ludlum Entertainment|Bourne Again,57,48050.227412195,301231207,0.04869804279080368,0.7112765957446807,0.20788225276730324,0.10625367403852003,0.15145986912578163,0.4326530612244898
587807,Tom & Jerry,Tom & Jerry,en,English,2021-02-10,2021,2,2020,Comedy|Family|Animation,Comedy,3,11.2253,6.7,2621,Good,High,50000000.0,136536687.0,True,True,86536687.0,1.73073374,101.0,US,US,1,Warner Animation Group|Turner Entertainment Co.|The Story Company|Warner Bros. Pictures,54,71441.2319805947,332100166,0.0485228341072904,0.5531914893617021,0.06254713538498965,0.07589544285776323,0.04669986623576466,0.37551020408163266
1894,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,en,English,2002-05-15,2002,5,2000,Adventure|Action|Science Fiction,Adventure,3,11.2181,6.597,14684,Good,High,120000000.0,649398328.0,True,True,529398328.0,4.411652733333334,142.0,US,US,1,Lucasfilm Ltd.,33,37997.7424300242,287625193,0.04842027292669724,0.5312765957446809,0.3560150833231967,0.18214925199041201,0.22211478061741474,0.5428571428571428
588,Silent Hill,Silent Hill,en,English,2006-04-21,2006,4,2000,Horror|Mystery,Horror,2,11.2059,6.647,5083,Good,High,50000000.0,100605135.0,True,True,50605135.0,1.0121027,125.0,CA,CA|FR|JP,1,Silent Hill DCP|Davis Films|Konami,59,40504.8490329826,32571193,0.04824648870402552,0.5419148936170213,0.12244252524023841,0.07589544285776323,0.03441013814186768,0.47346938775510206
332567,The Shallows,The Shallows,en,English,2016-06-24,2016,6,2010,Horror|Drama|Thriller,Horror,3,11.203,6.354,5430,Mixed,High,17000000.0,119100758.0,True,True,102100758.0,6.005926941176471,86.0,AU,AU|ES|US,2,Columbia Pictures|Ombra Films|Weimaraner Republic Pictures,42,50084.4440606385,24190907,0.048205179339619944,0.47957446808510634,0.13088432064225763,0.02580436140951452,0.04073622663359849,0.3142857142857143
